date,ticker,company,open,high,low,close,volume,sector
2024-01-02,AAPL,Apple Inc,185.50,187.20,184.80,186.95,52000000,Technology
2024-01-02,MSFT,Microsoft,375.20,378.50,374.00,377.80,28000000,Technology
2024-01-02,GOOGL,Alphabet,140.30,142.10,139.80,141.50,25000000,Technology
2024-01-02,TSLA,Tesla,245.00,248.50,243.20,247.80,95000000,Automotive
2024-01-02,AMZN,Amazon,155.80,157.20,154.90,156.70,45000000,E-commerce
2024-01-03,AAPL,Apple Inc,187.00,188.50,186.20,188.10,48000000,Technology
2024-01-03,MSFT,Microsoft,378.00,380.20,377.50,379.90,26000000,Technology
2024-01-03,GOOGL,Alphabet,141.80,143.50,141.20,143.00,23000000,Technology
2024-01-03,TSLA,Tesla,248.50,251.00,247.00,250.30,88000000,Automotive
2024-01-03,AMZN,Amazon,157.00,158.50,156.20,158.10,42000000,E-commerce
2024-01-04,AAPL,Apple Inc,188.50,189.80,187.50,189.20,51000000,Technology
2024-01-04,MSFT,Microsoft,380.50,382.00,379.80,381.50,29000000,Technology
2024-01-04,GOOGL,Alphabet,143.50,144.80,142.90,144.20,27000000,Technology
2024-01-04,TSLA,Tesla,251.00,253.50,249.80,252.90,92000000,Automotive
2024-01-04,AMZN,Amazon,158.50,159.80,157.90,159.30,46000000,E-commerce
2024-01-05,AAPL,Apple Inc,189.00,190.50,188.20,190.00,49000000,Technology
2024-01-05,MSFT,Microsoft,381.00,383.50,380.50,382.80,27000000,Technology
2024-01-05,GOOGL,Alphabet,144.00,145.20,143.50,144.90,24000000,Technology
2024-01-05,TSLA,Tesla,252.50,255.00,251.00,254.20,87000000,Automotive
2024-01-05,AMZN,Amazon,159.00,160.50,158.50,160.10,44000000,E-commerce
2024-01-08,AAPL,Apple Inc,190.50,191.20,189.00,190.80,53000000,Technology
2024-01-08,MSFT,Microsoft,383.00,384.50,382.00,384.00,31000000,Technology
2024-01-08,GOOGL,Alphabet,145.20,146.00,144.50,145.70,26000000,Technology
2024-01-08,TSLA,Tesla,254.50,256.80,253.00,256.00,94000000,Automotive
2024-01-08,AMZN,Amazon,160.50,161.80,159.80,161.40,47000000,E-commerce
2024-01-09,AAPL,Apple Inc,191.00,192.50,190.20,191.90,50000000,Technology
2024-01-09,MSFT,Microsoft,384.50,386.00,383.50,385.20,28000000,Technology
2024-01-09,GOOGL,Alphabet,146.00,147.20,145.30,146.80,25000000,Technology
2024-01-09,TSLA,Tesla,256.50,258.00,255.00,257.30,89000000,Automotive
2024-01-09,AMZN,Amazon,161.80,162.50,160.90,162.10,43000000,E-commerce
